component,powertrain,size,euro_class,value
Nitrogen dioxide,ICEV-d,18m,0,0.020791661
Non-methane hydrocarbon,ICEV-d,13m-city,1,0.020720993
Non-methane hydrocarbon,ICEV-d,9m,1,0.020720993
Methane,ICEV-d,13m-coach-double,1,0.020617139
Non-methane hydrocarbon,ICEV-g,13m-coach-double,4,0.020026295
Particulate matters 2.5,ICEV-d,9m,0,0.018981233
Particulate matters 2.5,ICEV-d,13m-city,0,0.018981233
Methane,ICEV-d,13m-coach,1,0.018410189
Particulate matters 2.5,ICEV-d,18m,1,0.018344536
Particulate matters 2.5,ICEV-d,13m-city-double,1,0.018344536
Hydrocarbon,ICEV-d,18m,2,0.018275932
Hydrocarbon,ICEV-d,13m-city-double,2,0.018275932
Non-methane hydrocarbon,ICEV-d,13m-city-double,2,0.017837311
Non-methane hydrocarbon,ICEV-d,18m,2,0.017837311
Particulate matters 2.5,ICEV-d,9m,1,0.0177441
Particulate matters 2.5,ICEV-d,13m-city,1,0.0177441
Non-methane hydrocarbon,ICEV-g,13m-coach,4,0.017427672
Nitrogen dioxide,ICEV-d,9m,0,0.016189252
Nitrogen dioxide,ICEV-d,13m-city,0,0.016189252
Hydrocarbon,ICEV-d,13m-city-double,3,0.015907756
Hydrocarbon,ICEV-d,18m,3,0.015907756
Non-methane hydrocarbon,ICEV-d,13m-city-double,3,0.01552597
Non-methane hydrocarbon,ICEV-d,18m,3,0.01552597
Benzene,ICEV-d,13m-coach-double,1,0.014346092
Particulate matters 2.5,ICEV-d,18m,0,0.013948896
Particulate matters 2.5,ICEV-d,13m-city-double,0,0.013948896
Hydrocarbon,ICEV-d,13m-city,2,0.013708943
Hydrocarbon,ICEV-d,9m,2,0.013708943
Particulate matters 2.5,ICEV-d,13m-coach-double,6,0.013707838
Non-methane hydrocarbon,ICEV-d,9m,2,0.013379928
Non-methane hydrocarbon,ICEV-d,13m-city,2,0.013379928
Non-methane hydrocarbon,ICEV-g,13m-coach-double,6,0.013177129
Dinitrogen oxide,ICEV-d,13m-coach-double,4,0.013020847
Dinitrogen oxide,ICEV-d,13m-coach,4,0.013020847
Benzene,ICEV-d,13m-coach,1,0.012810422
Methane,ICEV-d,13m-coach-double,2,0.012604801
Particulate matters 2.5,ICEV-d,13m-coach,6,0.012423153
Ammonia,ICEV-d,13m-coach-double,6,0.012394339
Hydrocarbon,ICEV-g,13m-city-double,6,0.012032441
Hydrocarbon,ICEV-g,13m-city,6,0.012032441
Hydrocarbon,ICEV-g,18m,6,0.012032441
Hydrocarbon,ICEV-g,9m,6,0.012032441
Hydrocarbon,ICEV-d,13m-city,3,0.011652271
Hydrocarbon,ICEV-d,9m,3,0.011652271
Methane,ICEV-d,13m-coach-double,3,0.011553621
Non-methane hydrocarbon,ICEV-d,9m,3,0.011372617
Non-methane hydrocarbon,ICEV-d,13m-city,3,0.011372617
Non-methane hydrocarbon,ICEV-g,13m-coach,6,0.011314638
Methane,ICEV-d,13m-coach,2,0.011296626
Methane,ICEV-g,13m-city-double,6,0.011069846
Methane,ICEV-g,18m,6,0.011069846
Methane,ICEV-g,9m,6,0.011069845
Methane,ICEV-g,13m-city,6,0.011069845
Ammonia,ICEV-d,13m-coach,5,0.011
Ammonia,ICEV-d,13m-coach-double,5,0.011
Ammonia,ICEV-d,13m-coach,6,0.010802997
Methane,ICEV-d,13m-coach,3,0.010536853
Particulate matters 2.5,ICEV-d,13m-city,2,0.010247204
Particulate matters 2.5,ICEV-d,9m,2,0.010247204
Particulate matters 2.5,ICEV-d,13m-city-double,2,0.008789285
Particulate matters 2.5,ICEV-d,18m,2,0.008789285
Benzene,ICEV-d,13m-coach-double,2,0.00877084
Dinitrogen oxide,ICEV-d,13m-coach-double,1,0.008648003
Dinitrogen oxide,ICEV-d,13m-coach,1,0.008648003
Dinitrogen oxide,ICEV-d,13m-coach-double,2,0.008400653
Dinitrogen oxide,ICEV-d,13m-coach,2,0.008400653
Benzene,ICEV-d,13m-coach-double,3,0.008039394
Particulate matters 2.5,ICEV-d,13m-city-double,3,0.008011221
Particulate matters 2.5,ICEV-d,18m,3,0.008011221
Benzene,ICEV-d,13m-coach,2,0.007860568
Nitrogen dioxide,ICEV-g,13m-city-double,6,0.00753617
Nitrogen dioxide,ICEV-g,18m,6,0.00753617
Nitrogen dioxide,ICEV-g,13m-city,6,0.007536169
Nitrogen dioxide,ICEV-g,9m,6,0.007536169
Particulate matters 2.5,ICEV-d,9m,3,0.007429126
Particulate matters 2.5,ICEV-d,13m-city,3,0.007429126
Benzene,ICEV-d,13m-coach,3,0.007331893
Particulate matters 2.5,ICEV-g,13m-coach-double,5,0.005686893
Particulate matters 2.5,ICEV-g,13m-coach-double,6,0.005563615
Particulate matters 2.5,ICEV-g,13m-coach,5,0.00487324
Particulate matters 2.5,ICEV-g,13m-coach,6,0.004777239
Dinitrogen oxide,ICEV-d,13m-coach-double,3,0.00475265
Dinitrogen oxide,ICEV-d,13m-coach,3,0.00475265
Non-methane hydrocarbon,ICEV-g,13m-city-double,4,0.004704469
Non-methane hydrocarbon,ICEV-g,18m,4,0.004704469
Non-methane hydrocarbon,ICEV-g,13m-city,4,0.004019806
Non-methane hydrocarbon,ICEV-g,9m,4,0.004019806
Methane,ICEV-d,13m-coach-double,5,0.003003944
Ammonia,ICEV-d,13m-coach-double,1,0.0029
Ammonia,ICEV-d,13m-coach,1,0.0029
Ammonia,ICEV-d,13m-coach-double,4,0.0029
Ammonia,ICEV-d,13m-coach,4,0.0029
Ammonia,ICEV-d,13m-coach-double,3,0.0029
Ammonia,ICEV-d,13m-coach,3,0.0029
Ammonia,ICEV-d,13m-coach-double,2,0.0029
Ammonia,ICEV-d,13m-coach,2,0.0029
Methane,ICEV-d,13m-coach,5,0.002614151
Benzene,ICEV-d,13m-coach-double,5,0.002090244
Non-methane hydrocarbon,ICEV-g,18m,5,0.001966094
Non-methane hydrocarbon,ICEV-g,13m-city,5,0.001966094
Non-methane hydrocarbon,ICEV-g,13m-city-double,5,0.001966094
Non-methane hydrocarbon,ICEV-g,9m,5,0.001966094
Particulate matters 2.5,ICEV-g,9m,2,0.001940835
Particulate matters 2.5,ICEV-g,13m-city,2,0.001940835
Benzene,ICEV-d,13m-coach,5,0.001819013
Methane,ICEV-d,13m-coach-double,4,0.001667064
Particulate matters 2.5,ICEV-g,18m,2,0.001664703
Particulate matters 2.5,ICEV-g,13m-city-double,2,0.001664703
Particulate matters 2.5,ICEV-g,13m-city-double,3,0.001475071
Particulate matters 2.5,ICEV-g,18m,3,0.001475071
Hydrocarbon,ICEV-d,13m-city-double,5,0.001472121
Hydrocarbon,ICEV-d,18m,5,0.001472121
Methane,ICEV-d,13m-coach,4,0.001440166
Non-methane hydrocarbon,ICEV-d,18m,5,0.00143679
Non-methane hydrocarbon,ICEV-d,13m-city-double,5,0.00143679
Particulate matters 2.5,ICEV-g,9m,3,0.001367893
Particulate matters 2.5,ICEV-g,13m-city,3,0.001367893
Hydrocarbon,ICEV-d,9m,5,0.001219288
Hydrocarbon,ICEV-d,13m-city,5,0.001219288
Methane,ICEV-d,13m-city,0,0.001202868
Methane,ICEV-d,9m,0,0.001202868
Non-methane hydrocarbon,ICEV-d,13m-city,5,0.001190026
Non-methane hydrocarbon,ICEV-d,9m,5,0.001190026
Benzene,ICEV-d,13m-coach-double,4,0.001159999
Methane,ICEV-d,13m-coach-double,6,0.001004991
Benzene,ICEV-d,13m-coach,4,0.001002116
Non-methane hydrocarbon,ICEV-g,18m,6,0.000962595
Non-methane hydrocarbon,ICEV-g,13m-city-double,6,0.000962595
Non-methane hydrocarbon,ICEV-g,9m,6,0.000962595
Non-methane hydrocarbon,ICEV-g,13m-city,6,0.000962595
Dinitrogen oxide,ICEV-d,9m,5,0.000939846
Dinitrogen oxide,ICEV-d,13m-city,5,0.000939846
Hydrocarbon,ICEV-d,13m-city-double,4,0.00090019
Hydrocarbon,ICEV-d,18m,4,0.00090019
Methane,ICEV-d,13m-coach,6,0.00088413
Non-methane hydrocarbon,ICEV-d,18m,4,0.000878585
Non-methane hydrocarbon,ICEV-d,13m-city-double,4,0.000878585
Benzene,ICEV-d,13m-city,0,0.000836996
Benzene,ICEV-d,9m,0,0.000836996
Particulate matters 2.5,ICEV-d,18m,5,0.000831055
Particulate matters 2.5,ICEV-d,13m-city-double,5,0.000831055
Particulate matters 2.5,ICEV-d,13m-city-double,4,0.000822497
Particulate matters 2.5,ICEV-d,18m,4,0.000822497
Methane,ICEV-d,18m,0,0.000793487
Methane,ICEV-d,13m-city-double,0,0.000793487
Hydrocarbon,ICEV-d,9m,4,0.000769566
Hydrocarbon,ICEV-d,13m-city,4,0.000769566
Particulate matters 2.5,ICEV-d,9m,5,0.000751447
Particulate matters 2.5,ICEV-d,13m-city,5,0.000751447
Non-methane hydrocarbon,ICEV-d,13m-city,4,0.000751096
Non-methane hydrocarbon,ICEV-d,9m,4,0.000751096
Particulate matters 2.5,ICEV-d,13m-city,4,0.000744867
Particulate matters 2.5,ICEV-d,9m,4,0.000744867
Dinitrogen oxide,ICEV-d,9m,6,0.000719359
Dinitrogen oxide,ICEV-d,13m-city,6,0.000719359
Benzene,ICEV-d,13m-coach-double,6,0.000699306
Methane,ICEV-d,13m-city-double,1,0.000690183
Methane,ICEV-d,18m,1,0.000690183
Particulate matters 2.5,ICEV-d,13m-city-double,6,0.00067035
Particulate matters 2.5,ICEV-d,18m,6,0.00067035
Dinitrogen oxide,ICEV-d,13m-city-double,5,0.000651216
Dinitrogen oxide,ICEV-d,18m,5,0.000651216
Hydrocarbon,ICEV-d,13m-city,6,0.000617224
Hydrocarbon,ICEV-d,9m,6,0.000617224
Benzene,ICEV-d,13m-coach,6,0.000615207
Non-methane hydrocarbon,ICEV-d,13m-city,6,0.000602411
Non-methane hydrocarbon,ICEV-d,9m,6,0.000602411
Dinitrogen oxide,ICEV-d,13m-city,1,0.00059101
Dinitrogen oxide,ICEV-d,9m,1,0.00059101
Particulate matters 2.5,ICEV-d,9m,6,0.000575158
Particulate matters 2.5,ICEV-d,13m-city,6,0.000575158
Benzene,ICEV-d,13m-city-double,0,0.000552135
Benzene,ICEV-d,18m,0,0.000552135
Dinitrogen oxide,ICEV-d,13m-city-double,6,0.000525287
Dinitrogen oxide,ICEV-d,18m,6,0.000525287
Methane,ICEV-d,9m,1,0.000509533
Methane,ICEV-d,13m-city,1,0.000509533
Benzene,ICEV-d,18m,1,0.000480252
Benzene,ICEV-d,13m-city-double,1,0.000480252
Hydrocarbon,ICEV-d,18m,6,0.000450707
Hydrocarbon,ICEV-d,13m-city-double,6,0.000450707
Non-methane hydrocarbon,ICEV-d,18m,6,0.00043989
Non-methane hydrocarbon,ICEV-d,13m-city-double,6,0.00043989
Methane,ICEV-d,13m-city-double,2,0.000438622
Methane,ICEV-d,18m,2,0.000438622
Dinitrogen oxide,ICEV-d,18m,1,0.000415811
Dinitrogen oxide,ICEV-d,13m-city-double,1,0.000415811
Particulate matters 2.5,ICEV-g,13m-city-double,5,0.000406425
Particulate matters 2.5,ICEV-g,13m-city-double,6,0.000406425
Particulate matters 2.5,ICEV-g,9m,6,0.000406425
Particulate matters 2.5,ICEV-g,9m,5,0.000406425
Particulate matters 2.5,ICEV-g,13m-city,6,0.000406425
Particulate matters 2.5,ICEV-g,13m-city,5,0.000406425
Particulate matters 2.5,ICEV-g,18m,5,0.000406425
Particulate matters 2.5,ICEV-g,18m,6,0.000406425
Dinitrogen oxide,ICEV-d,9m,2,0.00040429
Dinitrogen oxide,ICEV-d,13m-city,2,0.00040429
Methane,ICEV-d,18m,3,0.000381786
Methane,ICEV-d,13m-city-double,3,0.000381786
Particulate matters 2.5,ICEV-g,13m-city-double,4,0.000376194
Particulate matters 2.5,ICEV-g,18m,4,0.000376194
Particulate matters 2.5,ICEV-g,13m-city,4,0.000354762
Particulate matters 2.5,ICEV-g,9m,4,0.000354762
Benzene,ICEV-d,9m,1,0.00035455
Benzene,ICEV-d,13m-city,1,0.00035455
Methane,ICEV-d,13m-city,2,0.000329015
Methane,ICEV-d,9m,2,0.000329015
Benzene,ICEV-d,13m-city-double,2,0.000305208
Benzene,ICEV-d,18m,2,0.000305208
Dinitrogen oxide,ICEV-d,13m-city,4,0.000287451
Dinitrogen oxide,ICEV-d,9m,4,0.000287451
Dinitrogen oxide,ICEV-d,9m,0,0.000287059
Dinitrogen oxide,ICEV-d,13m-city,0,0.000287059
Dinitrogen oxide,ICEV-d,18m,2,0.000282326
Dinitrogen oxide,ICEV-d,13m-city-double,2,0.000282326
Methane,ICEV-d,9m,3,0.000279655
Methane,ICEV-d,13m-city,3,0.000279655
Benzene,ICEV-d,13m-city-double,3,0.00026566
Benzene,ICEV-d,18m,3,0.00026566
Dinitrogen oxide,ICEV-d,9m,3,0.000253557
Dinitrogen oxide,ICEV-d,13m-city,3,0.000253557
Benzene,ICEV-d,13m-city,2,0.000228939
Benzene,ICEV-d,9m,2,0.000228939
Ammonia,ICEV-d,13m-city,5,0.000206847
Ammonia,ICEV-d,9m,5,0.000206847
Dinitrogen oxide,ICEV-d,18m,0,0.000202381
Dinitrogen oxide,ICEV-d,13m-city-double,0,0.000202381
Dinitrogen oxide,ICEV-d,18m,4,0.000197982
Dinitrogen oxide,ICEV-d,13m-city-double,4,0.000197982
Benzene,ICEV-d,13m-city,3,0.000194593
Benzene,ICEV-d,9m,3,0.000194593
Dinitrogen oxide,ICEV-d,18m,3,0.000178576
Dinitrogen oxide,ICEV-d,13m-city-double,3,0.000178576
Ammonia,ICEV-d,9m,6,0.000158321
Ammonia,ICEV-d,13m-city,6,0.000158321
Ammonia,ICEV-d,9m,2,0.000150501
Ammonia,ICEV-d,13m-city,2,0.000150501
Ammonia,ICEV-d,13m-city,3,0.000145963
Ammonia,ICEV-d,9m,3,0.000145963
Ammonia,ICEV-d,18m,5,0.000143323
Ammonia,ICEV-d,13m-city-double,5,0.000143323
Ammonia,ICEV-d,13m-city,1,0.000142827
Ammonia,ICEV-d,9m,1,0.000142827
Ammonia,ICEV-d,18m,6,0.000142813
Ammonia,ICEV-d,13m-city-double,6,0.000142813
Ammonia,ICEV-d,18m,2,0.000105099
Ammonia,ICEV-d,13m-city-double,2,0.000105099
Ammonia,ICEV-d,13m-city-double,3,0.0001028
Ammonia,ICEV-d,18m,3,0.0001028
Ammonia,ICEV-d,18m,1,0.000100488
Ammonia,ICEV-d,13m-city-double,1,0.000100488
Ammonia,ICEV-d,13m-city,4,5.2e-05
Ammonia,ICEV-d,9m,4,5.2e-05
Ammonia,ICEV-d,9m,0,4.78e-05
Ammonia,ICEV-d,13m-city,0,4.78e-05
Ammonia,ICEV-d,18m,4,3.58e-05
Ammonia,ICEV-d,13m-city-double,4,3.58e-05
Methane,ICEV-d,18m,5,3.53e-05
Methane,ICEV-d,13m-city-double,5,3.53e-05
Ammonia,ICEV-d,13m-city-double,0,3.37e-05
Ammonia,ICEV-d,18m,0,3.37e-05
Methane,ICEV-d,9m,5,2.93e-05
Methane,ICEV-d,13m-city,5,2.93e-05
Benzene,ICEV-d,13m-city-double,5,2.46e-05
Benzene,ICEV-d,18m,5,2.46e-05
Methane,ICEV-d,18m,4,2.16e-05
Methane,ICEV-d,13m-city-double,4,2.16e-05
Benzene,ICEV-d,9m,5,2.04e-05
Benzene,ICEV-d,13m-city,5,2.04e-05
Methane,ICEV-d,13m-city,4,1.85e-05
Methane,ICEV-d,9m,4,1.85e-05
Benzene,ICEV-d,18m,4,1.5e-05
Benzene,ICEV-d,13m-city-double,4,1.5e-05
Methane,ICEV-d,13m-city,6,1.48e-05
Methane,ICEV-d,9m,6,1.48e-05
Benzene,ICEV-d,13m-city,4,1.29e-05
Benzene,ICEV-d,9m,4,1.29e-05
Methane,ICEV-d,13m-city-double,6,1.08e-05
Methane,ICEV-d,18m,6,1.08e-05
Benzene,ICEV-d,9m,6,1.03e-05
Benzene,ICEV-d,13m-city,6,1.03e-05
Benzene,ICEV-d,18m,6,7.53e-06
Benzene,ICEV-d,13m-city-double,6,7.53e-06
Benzene,ICEV-g,13m-city-double,4,0.0
Benzene,ICEV-g,13m-city-double,2,0.0
Benzene,ICEV-g,13m-city-double,3,0.0
Benzene,ICEV-g,9m,5,0.0
Benzene,ICEV-g,9m,6,0.0
Benzene,ICEV-g,9m,4,0.0
Lead,ICEV-d,13m-city-double,0,0.0
Benzene,ICEV-g,13m-city-double,5,0.0
Benzene,ICEV-g,13m-city-double,6,0.0
Lead,ICEV-d,9m,0,0.0
Benzene,ICEV-g,9m,2,0.0
Lead,ICEV-d,18m,4,0.0
Lead,ICEV-d,13m-coach-double,5,0.0
Lead,ICEV-d,13m-coach,5,0.0
Lead,ICEV-d,9m,1,0.0
Lead,ICEV-d,13m-city-double,1,0.0
Lead,ICEV-d,18m,5,0.0
Lead,ICEV-d,18m,3,0.0
Benzene,ICEV-g,9m,3,0.0
Lead,ICEV-d,9m,6,0.0
Lead,ICEV-g,13m-city-double,6,0.0
Toluene,ICEV-d,9m,1,0.0
Acetone,ICEV-d,9m,1,0.0
Benzaldehyde,ICEV-d,9m,1,0.0
Acetaldehyde,ICEV-d,9m,1,0.0
Formaldehyde,ICEV-d,9m,1,0.0
o-Xylene,ICEV-d,9m,1,0.0
Lead,ICEV-d,13m-coach,6,0.0
Lead,ICEV-d,13m-coach-double,6,0.0
m-Xylene,ICEV-d,9m,1,0.0
1-Pentene,ICEV-d,9m,1,0.0
Acrolein,ICEV-d,9m,1,0.0
Propene,ICEV-d,9m,1,0.0
Ethene,ICEV-d,9m,1,0.0
Heptane,ICEV-d,9m,1,0.0
Cyclohexane,ICEV-d,9m,1,0.0
Hexane,ICEV-d,9m,1,0.0
Pentane,ICEV-d,9m,1,0.0
Butane,ICEV-d,9m,1,0.0
Propane,ICEV-d,9m,1,0.0
Methyl ethyl ketone,ICEV-d,9m,1,0.0
Styrene,ICEV-d,9m,1,0.0
Lead,ICEV-g,13m-city-double,5,0.0
Lead,ICEV-g,9m,2,0.0
Lead,ICEV-g,13m-city-double,4,0.0
Lead,ICEV-g,13m-city-double,3,0.0
Lead,ICEV-d,9m,2,0.0
Lead,ICEV-g,13m-city-double,2,0.0
Lead,ICEV-g,9m,6,0.0
Lead,ICEV-g,9m,5,0.0
Lead,ICEV-g,9m,4,0.0
Lead,ICEV-g,9m,3,0.0
Cadmium,ICEV-d,9m,1,0.0
PAH polycyclic aromatic hydrocarbons,ICEV-d,9m,1,0.0
Mercury,ICEV-d,9m,1,0.0
Chromium VI,ICEV-d,9m,1,0.0
Chromium,ICEV-d,9m,1,0.0
Nickel,ICEV-d,9m,1,0.0
Copper,ICEV-d,9m,1,0.0
Zinc,ICEV-d,9m,1,0.0
Selenium,ICEV-d,9m,1,0.0
Arsenic,ICEV-d,9m,1,0.0
Lead,ICEV-d,18m,2,0.0
Lead,ICEV-g,18m,3,0.0
Lead,ICEV-d,13m-city-double,2,0.0
Lead,ICEV-d,13m-coach-double,3,0.0
Lead,ICEV-d,9m,5,0.0
Benzene,ICEV-g,13m-coach,6,0.0
Benzene,ICEV-g,13m-coach,5,0.0
Benzene,ICEV-g,13m-coach,4,0.0
Benzene,ICEV-g,13m-coach,3,0.0
Lead,ICEV-d,13m-coach,3,0.0
Benzene,ICEV-g,13m-coach,2,0.0
Benzene,ICEV-g,13m-coach-double,1,0.0
Benzene,ICEV-g,13m-coach,1,0.0
Lead,ICEV-g,13m-coach-double,6,0.0
Lead,ICEV-g,13m-coach-double,5,0.0
Lead,ICEV-g,13m-coach-double,4,0.0
Lead,ICEV-g,13m-coach-double,3,0.0
Lead,ICEV-g,13m-coach-double,2,0.0
Lead,ICEV-d,13m-city-double,5,0.0
Benzene,ICEV-g,13m-coach-double,2,0.0
Lead,ICEV-g,13m-coach,6,0.0
Lead,ICEV-d,13m-coach,2,0.0
Lead,ICEV-d,13m-coach-double,1,0.0
Lead,ICEV-d,13m-coach,1,0.0
Lead,ICEV-g,13m-city,2,0.0
Lead,ICEV-g,13m-city,3,0.0
Lead,ICEV-g,13m-city,4,0.0
Lead,ICEV-g,13m-city,5,0.0
Lead,ICEV-d,13m-coach-double,2,0.0
Benzene,ICEV-g,13m-coach-double,3,0.0
Lead,ICEV-g,13m-city,6,0.0
Benzene,ICEV-g,13m-city,2,0.0
Benzene,ICEV-g,13m-city,3,0.0
Benzene,ICEV-g,13m-coach-double,6,0.0
Benzene,ICEV-g,13m-coach-double,5,0.0
Benzene,ICEV-g,13m-coach-double,4,0.0
Lead,ICEV-g,13m-coach-double,1,0.0
Lead,ICEV-g,13m-coach,5,0.0
Lead,ICEV-d,18m,1,0.0
Lead,ICEV-g,18m,5,0.0
Lead,ICEV-g,18m,2,0.0
Lead,ICEV-d,13m-city-double,6,0.0
Lead,ICEV-d,18m,6,0.0
Lead,ICEV-g,18m,4,0.0
Lead,ICEV-d,13m-city-double,3,0.0
Lead,ICEV-d,9m,3,0.0
Lead,ICEV-g,18m,6,0.0
Lead,ICEV-d,13m-city,5,0.0
Benzene,ICEV-g,18m,2,0.0
Benzene,ICEV-g,18m,3,0.0
Benzene,ICEV-g,18m,4,0.0
Benzene,ICEV-g,18m,5,0.0
Benzene,ICEV-g,18m,6,0.0
Lead,ICEV-d,18m,0,0.0
Lead,ICEV-d,13m-city,6,0.0
Lead,ICEV-d,13m-coach-double,4,0.0
Lead,ICEV-g,13m-coach,4,0.0
Lead,ICEV-d,13m-city,0,0.0
Lead,ICEV-g,13m-coach,3,0.0
Lead,ICEV-g,13m-coach,2,0.0
Lead,ICEV-g,13m-coach,1,0.0
Benzene,ICEV-g,13m-city,4,0.0
Benzene,ICEV-g,13m-city,5,0.0
Benzene,ICEV-g,13m-city,6,0.0
Lead,ICEV-d,13m-city,1,0.0
Lead,ICEV-d,13m-coach,4,0.0
Lead,ICEV-d,13m-city,2,0.0
Lead,ICEV-d,13m-city-double,4,0.0
Lead,ICEV-d,9m,4,0.0
Lead,ICEV-d,13m-city,3,0.0
Lead,ICEV-d,13m-city,4,0.0
Ethane,ICEV-d,9m,1,0.0
Benzene,BEV,9m,1,0.0
